Neuron1,Neuron2,Type1,Type2,IndexSending,IndexReceiving
AIAL,AIAL,flp-1,npr-11,109,109
AIAL,AIAR,flp-1,npr-11,109,134
AIAR,AIAL,flp-1,npr-11,134,109
AIAR,AIAR,flp-1,npr-11,134,134
AIAL,AIYL,flp-1,npr-11,109,157
AIAL,AIYR,flp-1,npr-11,109,154
AIAR,AIYL,flp-1,npr-11,134,157
AIAR,AIYR,flp-1,npr-11,134,154
AIAL,AVAL,flp-1,npr-4,109,72
AIAL,AVAR,flp-1,npr-4,109,73
AIAR,AVAL,flp-1,npr-4,134,72
AIAR,AVAR,flp-1,npr-4,134,73
AIAL,BAGL,flp-1,npr-4,109,42
AIAL,BAGR,flp-1,npr-4,109,51
AIAR,BAGL,flp-1,npr-4,134,42
AIAR,BAGR,flp-1,npr-4,134,51
AIAL,BDUL,flp-1,npr-4,109,195
AIAL,BDUR,flp-1,npr-4,109,196
AIAR,BDUL,flp-1,npr-4,134,195
AIAR,BDUR,flp-1,npr-4,134,196
AIAL,PQR,flp-1,npr-4,109,289
AIAR,PQR,flp-1,npr-4,134,289
AIAL,RIVL,flp-1,npr-4,109,100
AIAL,RIVR,flp-1,npr-4,109,125
AIAR,RIVL,flp-1,npr-4,134,100
AIAR,RIVR,flp-1,npr-4,134,125
AIYL,AIAL,flp-1,npr-11,157,109
AIYL,AIAR,flp-1,npr-11,157,134
AIYR,AIAL,flp-1,npr-11,154,109
AIYR,AIAR,flp-1,npr-11,154,134
AIYL,AIYL,flp-1,npr-11,157,157
AIYL,AIYR,flp-1,npr-11,157,154
AIYR,AIYL,flp-1,npr-11,154,157
AIYR,AIYR,flp-1,npr-11,154,154
AIYL,AVAL,flp-1,npr-4,157,72
AIYL,AVAR,flp-1,npr-4,157,73
AIYR,AVAL,flp-1,npr-4,154,72
AIYR,AVAR,flp-1,npr-4,154,73
AIYL,BAGL,flp-1,npr-4,157,42
AIYL,BAGR,flp-1,npr-4,157,51
AIYR,BAGL,flp-1,npr-4,154,42
AIYR,BAGR,flp-1,npr-4,154,51
AIYL,BDUL,flp-1,npr-4,157,195
AIYL,BDUR,flp-1,npr-4,157,196
AIYR,BDUL,flp-1,npr-4,154,195
AIYR,BDUR,flp-1,npr-4,154,196
AIYL,PQR,flp-1,npr-4,157,289
AIYR,PQR,flp-1,npr-4,154,289
AIYL,RIVL,flp-1,npr-4,157,100
AIYL,RIVR,flp-1,npr-4,157,125
AIYR,RIVL,flp-1,npr-4,154,100
AIYR,RIVR,flp-1,npr-4,154,125
AVAL,AIAL,flp-1,npr-11,72,109
AVAL,AIAR,flp-1,npr-11,72,134
AVAR,AIAL,flp-1,npr-11,73,109
AVAR,AIAR,flp-1,npr-11,73,134
AVAL,AIYL,flp-1,npr-11,72,157
AVAL,AIYR,flp-1,npr-11,72,154
AVAR,AIYL,flp-1,npr-11,73,157
AVAR,AIYR,flp-1,npr-11,73,154
AVAL,AVAL,flp-1,npr-4,72,72
AVAL,AVAR,flp-1,npr-4,72,73
AVAR,AVAL,flp-1,npr-4,73,72
AVAR,AVAR,flp-1,npr-4,73,73
AVAL,BAGL,flp-1,npr-4,72,42
AVAL,BAGR,flp-1,npr-4,72,51
AVAR,BAGL,flp-1,npr-4,73,42
AVAR,BAGR,flp-1,npr-4,73,51
AVAL,BDUL,flp-1,npr-4,72,195
AVAL,BDUR,flp-1,npr-4,72,196
AVAR,BDUL,flp-1,npr-4,73,195
AVAR,BDUR,flp-1,npr-4,73,196
AVAL,PQR,flp-1,npr-4,72,289
AVAR,PQR,flp-1,npr-4,73,289
AVAL,RIVL,flp-1,npr-4,72,100
AVAL,RIVR,flp-1,npr-4,72,125
AVAR,RIVL,flp-1,npr-4,73,100
AVAR,RIVR,flp-1,npr-4,73,125
AVEL,AIAL,flp-1,npr-11,74,109
AVEL,AIAR,flp-1,npr-11,74,134
AVER,AIAL,flp-1,npr-11,92,109
AVER,AIAR,flp-1,npr-11,92,134
AVEL,AIYL,flp-1,npr-11,74,157
AVEL,AIYR,flp-1,npr-11,74,154
AVER,AIYL,flp-1,npr-11,92,157
AVER,AIYR,flp-1,npr-11,92,154
AVEL,AVAL,flp-1,npr-4,74,72
AVEL,AVAR,flp-1,npr-4,74,73
AVER,AVAL,flp-1,npr-4,92,72
AVER,AVAR,flp-1,npr-4,92,73
AVEL,BAGL,flp-1,npr-4,74,42
AVEL,BAGR,flp-1,npr-4,74,51
AVER,BAGL,flp-1,npr-4,92,42
AVER,BAGR,flp-1,npr-4,92,51
AVEL,BDUL,flp-1,npr-4,74,195
AVEL,BDUR,flp-1,npr-4,74,196
AVER,BDUL,flp-1,npr-4,92,195
AVER,BDUR,flp-1,npr-4,92,196
AVEL,PQR,flp-1,npr-4,74,289
AVER,PQR,flp-1,npr-4,92,289
AVEL,RIVL,flp-1,npr-4,74,100
AVEL,RIVR,flp-1,npr-4,74,125
AVER,RIVL,flp-1,npr-4,92,100
AVER,RIVR,flp-1,npr-4,92,125
AVKL,AIAL,flp-1,npr-11,163,109
AVKL,AIAR,flp-1,npr-11,163,134
AVKR,AIAL,flp-1,npr-11,158,109
AVKR,AIAR,flp-1,npr-11,158,134
AVKL,AIYL,flp-1,npr-11,163,157
AVKL,AIYR,flp-1,npr-11,163,154
AVKR,AIYL,flp-1,npr-11,158,157
AVKR,AIYR,flp-1,npr-11,158,154
AVKL,AVAL,flp-1,npr-4,163,72
AVKL,AVAR,flp-1,npr-4,163,73
AVKR,AVAL,flp-1,npr-4,158,72
AVKR,AVAR,flp-1,npr-4,158,73
AVKL,BAGL,flp-1,npr-4,163,42
AVKL,BAGR,flp-1,npr-4,163,51
AVKR,BAGL,flp-1,npr-4,158,42
AVKR,BAGR,flp-1,npr-4,158,51
AVKL,BDUL,flp-1,npr-4,163,195
AVKL,BDUR,flp-1,npr-4,163,196
AVKR,BDUL,flp-1,npr-4,158,195
AVKR,BDUR,flp-1,npr-4,158,196
AVKL,PQR,flp-1,npr-4,163,289
AVKR,PQR,flp-1,npr-4,158,289
AVKL,RIVL,flp-1,npr-4,163,100
AVKL,RIVR,flp-1,npr-4,163,125
AVKR,RIVL,flp-1,npr-4,158,100
AVKR,RIVR,flp-1,npr-4,158,125
M5,AIAL,flp-1,npr-11,20,109
M5,AIAR,flp-1,npr-11,20,134
M5,AIYL,flp-1,npr-11,20,157
M5,AIYR,flp-1,npr-11,20,154
M5,AVAL,flp-1,npr-4,20,72
M5,AVAR,flp-1,npr-4,20,73
M5,BAGL,flp-1,npr-4,20,42
M5,BAGR,flp-1,npr-4,20,51
M5,BDUL,flp-1,npr-4,20,195
M5,BDUR,flp-1,npr-4,20,196
M5,PQR,flp-1,npr-4,20,289
M5,RIVL,flp-1,npr-4,20,100
M5,RIVR,flp-1,npr-4,20,125
RIGL,AIAL,flp-1,npr-11,181,109
RIGL,AIAR,flp-1,npr-11,181,134
RIGR,AIAL,flp-1,npr-11,178,109
RIGR,AIAR,flp-1,npr-11,178,134
RIGL,AIYL,flp-1,npr-11,181,157
RIGL,AIYR,flp-1,npr-11,181,154
RIGR,AIYL,flp-1,npr-11,178,157
RIGR,AIYR,flp-1,npr-11,178,154
RIGL,AVAL,flp-1,npr-4,181,72
RIGL,AVAR,flp-1,npr-4,181,73
RIGR,AVAL,flp-1,npr-4,178,72
RIGR,AVAR,flp-1,npr-4,178,73
RIGL,BAGL,flp-1,npr-4,181,42
RIGL,BAGR,flp-1,npr-4,181,51
RIGR,BAGL,flp-1,npr-4,178,42
RIGR,BAGR,flp-1,npr-4,178,51
RIGL,BDUL,flp-1,npr-4,181,195
RIGL,BDUR,flp-1,npr-4,181,196
RIGR,BDUL,flp-1,npr-4,178,195
RIGR,BDUR,flp-1,npr-4,178,196
RIGL,PQR,flp-1,npr-4,181,289
RIGR,PQR,flp-1,npr-4,178,289
RIGL,RIVL,flp-1,npr-4,181,100
RIGL,RIVR,flp-1,npr-4,181,125
RIGR,RIVL,flp-1,npr-4,178,100
RIGR,RIVR,flp-1,npr-4,178,125
RMGL,AIAL,flp-1,npr-11,179,109
RMGL,AIAR,flp-1,npr-11,179,134
RMGR,AIAL,flp-1,npr-11,180,109
RMGR,AIAR,flp-1,npr-11,180,134
RMGL,AIYL,flp-1,npr-11,179,157
RMGL,AIYR,flp-1,npr-11,179,154
RMGR,AIYL,flp-1,npr-11,180,157
RMGR,AIYR,flp-1,npr-11,180,154
RMGL,AVAL,flp-1,npr-4,179,72
RMGL,AVAR,flp-1,npr-4,179,73
RMGR,AVAL,flp-1,npr-4,180,72
RMGR,AVAR,flp-1,npr-4,180,73
RMGL,BAGL,flp-1,npr-4,179,42
RMGL,BAGR,flp-1,npr-4,179,51
RMGR,BAGL,flp-1,npr-4,180,42
RMGR,BAGR,flp-1,npr-4,180,51
RMGL,BDUL,flp-1,npr-4,179,195
RMGL,BDUR,flp-1,npr-4,179,196
RMGR,BDUL,flp-1,npr-4,180,195
RMGR,BDUR,flp-1,npr-4,180,196
RMGL,PQR,flp-1,npr-4,179,289
RMGR,PQR,flp-1,npr-4,180,289
RMGL,RIVL,flp-1,npr-4,179,100
RMGL,RIVR,flp-1,npr-4,179,125
RMGR,RIVL,flp-1,npr-4,180,100
RMGR,RIVR,flp-1,npr-4,180,125
AIML,DVA,flp-10,egl-6,155,275
AIMR,DVA,flp-10,egl-6,156,275
AIML,HSNL,flp-10,egl-6,155,229
AIML,HSNR,flp-10,egl-6,155,230
AIMR,HSNL,flp-10,egl-6,156,229
AIMR,HSNR,flp-10,egl-6,156,230
AIML,SDQL,flp-10,egl-6,155,246
AIML,SDQR,flp-10,egl-6,155,199
AIMR,SDQL,flp-10,egl-6,156,246
AIMR,SDQR,flp-10,egl-6,156,199
ASIL,DVA,flp-10,egl-6,91,275
ASIR,DVA,flp-10,egl-6,113,275
ASIL,HSNL,flp-10,egl-6,91,229
ASIL,HSNR,flp-10,egl-6,91,230
ASIR,HSNL,flp-10,egl-6,113,229
ASIR,HSNR,flp-10,egl-6,113,230
ASIL,SDQL,flp-10,egl-6,91,246
ASIL,SDQR,flp-10,egl-6,91,199
ASIR,SDQL,flp-10,egl-6,113,246
ASIR,SDQR,flp-10,egl-6,113,199
AUAL,DVA,flp-10,egl-6,114,275
AUAR,DVA,flp-10,egl-6,139,275
AUAL,HSNL,flp-10,egl-6,114,229
AUAL,HSNR,flp-10,egl-6,114,230
AUAR,HSNL,flp-10,egl-6,139,229
AUAR,HSNR,flp-10,egl-6,139,230
AUAL,SDQL,flp-10,egl-6,114,246
AUAL,SDQR,flp-10,egl-6,114,199
AUAR,SDQL,flp-10,egl-6,139,246
AUAR,SDQR,flp-10,egl-6,139,199
BAGL,DVA,flp-10,egl-6,42,275
BAGR,DVA,flp-10,egl-6,51,275
BAGL,HSNL,flp-10,egl-6,42,229
BAGL,HSNR,flp-10,egl-6,42,230
BAGR,HSNL,flp-10,egl-6,51,229
BAGR,HSNR,flp-10,egl-6,51,230
BAGL,SDQL,flp-10,egl-6,42,246
BAGL,SDQR,flp-10,egl-6,42,199
BAGR,SDQL,flp-10,egl-6,51,246
BAGR,SDQR,flp-10,egl-6,51,199
BDUL,DVA,flp-10,egl-6,195,275
BDUR,DVA,flp-10,egl-6,196,275
BDUL,HSNL,flp-10,egl-6,195,229
BDUL,HSNR,flp-10,egl-6,195,230
BDUR,HSNL,flp-10,egl-6,196,229
BDUR,HSNR,flp-10,egl-6,196,230
BDUL,SDQL,flp-10,egl-6,195,246
BDUL,SDQR,flp-10,egl-6,195,199
BDUR,SDQL,flp-10,egl-6,196,246
BDUR,SDQR,flp-10,egl-6,196,199
DVB,DVA,flp-10,egl-6,276,275
DVB,HSNL,flp-10,egl-6,276,229
DVB,HSNR,flp-10,egl-6,276,230
DVB,SDQL,flp-10,egl-6,276,246
DVB,SDQR,flp-10,egl-6,276,199
PQR,DVA,flp-10,egl-6,289,275
PQR,HSNL,flp-10,egl-6,289,229
PQR,HSNR,flp-10,egl-6,289,230
PQR,SDQL,flp-10,egl-6,289,246
PQR,SDQR,flp-10,egl-6,289,199
PVR,DVA,flp-10,egl-6,293,275
PVR,HSNL,flp-10,egl-6,293,229
PVR,HSNR,flp-10,egl-6,293,230
PVR,SDQL,flp-10,egl-6,293,246
PVR,SDQR,flp-10,egl-6,293,199
URXL,DVA,flp-10,egl-6,66,275
URXR,DVA,flp-10,egl-6,82,275
URXL,HSNL,flp-10,egl-6,66,229
URXL,HSNR,flp-10,egl-6,66,230
URXR,HSNL,flp-10,egl-6,82,229
URXR,HSNR,flp-10,egl-6,82,230
URXL,SDQL,flp-10,egl-6,66,246
URXL,SDQR,flp-10,egl-6,66,199
URXR,SDQL,flp-10,egl-6,82,246
URXR,SDQR,flp-10,egl-6,82,199
ALA,AVEL,flp-13,frpr-4,58,74
ALA,AVER,flp-13,frpr-4,58,92
ALA,DVA,flp-13,frpr-4,58,275
ALA,I1L,flp-13,frpr-4,58,1
ALA,I1R,flp-13,frpr-4,58,2
ALA,PVM,flp-13,frpr-4,58,251
ALA,RIAL,flp-13,frpr-4,58,76
ALA,RIAR,flp-13,frpr-4,58,77
ASEL,AVEL,flp-13,frpr-4,111,74
ASEL,AVER,flp-13,frpr-4,111,92
ASER,AVEL,flp-13,frpr-4,112,74
ASER,AVER,flp-13,frpr-4,112,92
ASEL,DVA,flp-13,frpr-4,111,275
ASER,DVA,flp-13,frpr-4,112,275
ASEL,I1L,flp-13,frpr-4,111,1
ASEL,I1R,flp-13,frpr-4,111,2
ASER,I1L,flp-13,frpr-4,112,1
ASER,I1R,flp-13,frpr-4,112,2
ASEL,PVM,flp-13,frpr-4,111,251
ASER,PVM,flp-13,frpr-4,112,251
ASEL,RIAL,flp-13,frpr-4,111,76
ASEL,RIAR,flp-13,frpr-4,111,77
ASER,RIAL,flp-13,frpr-4,112,76
ASER,RIAR,flp-13,frpr-4,112,77
ASGL,AVEL,flp-13,frpr-4,87,74
ASGL,AVER,flp-13,frpr-4,87,92
ASGR,AVEL,flp-13,frpr-4,88,74
ASGR,AVER,flp-13,frpr-4,88,92
ASGL,DVA,flp-13,frpr-4,87,275
ASGR,DVA,flp-13,frpr-4,88,275
ASGL,I1L,flp-13,frpr-4,87,1
ASGL,I1R,flp-13,frpr-4,87,2
ASGR,I1L,flp-13,frpr-4,88,1
ASGR,I1R,flp-13,frpr-4,88,2
ASGL,PVM,flp-13,frpr-4,87,251
ASGR,PVM,flp-13,frpr-4,88,251
ASGL,RIAL,flp-13,frpr-4,87,76
ASGL,RIAR,flp-13,frpr-4,87,77
ASGR,RIAL,flp-13,frpr-4,88,76
ASGR,RIAR,flp-13,frpr-4,88,77
ASKL,AVEL,flp-13,frpr-4,70,74
ASKL,AVER,flp-13,frpr-4,70,92
ASKR,AVEL,flp-13,frpr-4,71,74
ASKR,AVER,flp-13,frpr-4,71,92
ASKL,DVA,flp-13,frpr-4,70,275
ASKR,DVA,flp-13,frpr-4,71,275
ASKL,I1L,flp-13,frpr-4,70,1
ASKL,I1R,flp-13,frpr-4,70,2
ASKR,I1L,flp-13,frpr-4,71,1
ASKR,I1R,flp-13,frpr-4,71,2
ASKL,PVM,flp-13,frpr-4,70,251
ASKR,PVM,flp-13,frpr-4,71,251
ASKL,RIAL,flp-13,frpr-4,70,76
ASKL,RIAR,flp-13,frpr-4,70,77
ASKR,RIAL,flp-13,frpr-4,71,76
ASKR,RIAR,flp-13,frpr-4,71,77
BAGL,AVEL,flp-13,frpr-4,42,74
BAGL,AVER,flp-13,frpr-4,42,92
BAGR,AVEL,flp-13,frpr-4,51,74
BAGR,AVER,flp-13,frpr-4,51,92
BAGL,DVA,flp-13,frpr-4,42,275
BAGR,DVA,flp-13,frpr-4,51,275
BAGL,I1L,flp-13,frpr-4,42,1
BAGL,I1R,flp-13,frpr-4,42,2
BAGR,I1L,flp-13,frpr-4,51,1
BAGR,I1R,flp-13,frpr-4,51,2
BAGL,PVM,flp-13,frpr-4,42,251
BAGR,PVM,flp-13,frpr-4,51,251
BAGL,RIAL,flp-13,frpr-4,42,76
BAGL,RIAR,flp-13,frpr-4,42,77
BAGR,RIAL,flp-13,frpr-4,51,76
BAGR,RIAR,flp-13,frpr-4,51,77
DD01,AVEL,flp-13,frpr-4,185,74
DD01,AVER,flp-13,frpr-4,185,92
DD02,AVEL,flp-13,frpr-4,202,74
DD02,AVER,flp-13,frpr-4,202,92
DD03,AVEL,flp-13,frpr-4,215,74
DD03,AVER,flp-13,frpr-4,215,92
DD04,AVEL,flp-13,frpr-4,236,74
DD04,AVER,flp-13,frpr-4,236,92
DD05,AVEL,flp-13,frpr-4,255,74
DD05,AVER,flp-13,frpr-4,255,92
DD06,AVEL,flp-13,frpr-4,270,74
DD06,AVER,flp-13,frpr-4,270,92
DD01,DVA,flp-13,frpr-4,185,275
DD02,DVA,flp-13,frpr-4,202,275
DD03,DVA,flp-13,frpr-4,215,275
DD04,DVA,flp-13,frpr-4,236,275
DD05,DVA,flp-13,frpr-4,255,275
DD06,DVA,flp-13,frpr-4,270,275
DD01,I1L,flp-13,frpr-4,185,1
DD01,I1R,flp-13,frpr-4,185,2
DD02,I1L,flp-13,frpr-4,202,1
DD02,I1R,flp-13,frpr-4,202,2
DD03,I1L,flp-13,frpr-4,215,1
DD03,I1R,flp-13,frpr-4,215,2
DD04,I1L,flp-13,frpr-4,236,1
DD04,I1R,flp-13,frpr-4,236,2
DD05,I1L,flp-13,frpr-4,255,1
DD05,I1R,flp-13,frpr-4,255,2
DD06,I1L,flp-13,frpr-4,270,1
DD06,I1R,flp-13,frpr-4,270,2
DD01,PVM,flp-13,frpr-4,185,251
DD02,PVM,flp-13,frpr-4,202,251
DD03,PVM,flp-13,frpr-4,215,251
DD04,PVM,flp-13,frpr-4,236,251
DD05,PVM,flp-13,frpr-4,255,251
DD06,PVM,flp-13,frpr-4,270,251
DD01,RIAL,flp-13,frpr-4,185,76
DD01,RIAR,flp-13,frpr-4,185,77
DD02,RIAL,flp-13,frpr-4,202,76
DD02,RIAR,flp-13,frpr-4,202,77
DD03,RIAL,flp-13,frpr-4,215,76
DD03,RIAR,flp-13,frpr-4,215,77
DD04,RIAL,flp-13,frpr-4,236,76
DD04,RIAR,flp-13,frpr-4,236,77
DD05,RIAL,flp-13,frpr-4,255,76
DD05,RIAR,flp-13,frpr-4,255,77
DD06,RIAL,flp-13,frpr-4,270,76
DD06,RIAR,flp-13,frpr-4,270,77
I5,AVEL,flp-13,frpr-4,15,74
I5,AVER,flp-13,frpr-4,15,92
I5,DVA,flp-13,frpr-4,15,275
I5,I1L,flp-13,frpr-4,15,1
I5,I1R,flp-13,frpr-4,15,2
I5,PVM,flp-13,frpr-4,15,251
I5,RIAL,flp-13,frpr-4,15,76
I5,RIAR,flp-13,frpr-4,15,77
M3L,AVEL,flp-13,frpr-4,6,74
M3L,AVER,flp-13,frpr-4,6,92
M3R,AVEL,flp-13,frpr-4,7,74
M3R,AVER,flp-13,frpr-4,7,92
M3L,DVA,flp-13,frpr-4,6,275
M3R,DVA,flp-13,frpr-4,7,275
M3L,I1L,flp-13,frpr-4,6,1
M3L,I1R,flp-13,frpr-4,6,2
M3R,I1L,flp-13,frpr-4,7,1
M3R,I1R,flp-13,frpr-4,7,2
M3L,PVM,flp-13,frpr-4,6,251
M3R,PVM,flp-13,frpr-4,7,251
M3L,RIAL,flp-13,frpr-4,6,76
M3L,RIAR,flp-13,frpr-4,6,77
M3R,RIAL,flp-13,frpr-4,7,76
M3R,RIAR,flp-13,frpr-4,7,77
M5,AVEL,flp-13,frpr-4,20,74
M5,AVER,flp-13,frpr-4,20,92
M5,DVA,flp-13,frpr-4,20,275
M5,I1L,flp-13,frpr-4,20,1
M5,I1R,flp-13,frpr-4,20,2
M5,PVM,flp-13,frpr-4,20,251
M5,RIAL,flp-13,frpr-4,20,76
M5,RIAR,flp-13,frpr-4,20,77
I2L,AS01,flp-15,npr-3,3,186
I2L,AS10,flp-15,npr-3,3,260
I2L,AS11,flp-15,npr-3,3,264
I2L,AS02,flp-15,npr-3,3,192
I2L,AS03,flp-15,npr-3,3,203
I2L,AS04,flp-15,npr-3,3,210
I2L,AS05,flp-15,npr-3,3,220
I2L,AS06,flp-15,npr-3,3,224
I2L,AS07,flp-15,npr-3,3,233
I2L,AS08,flp-15,npr-3,3,242
I2L,AS09,flp-15,npr-3,3,254
I2R,AS01,flp-15,npr-3,4,186
I2R,AS10,flp-15,npr-3,4,260
I2R,AS11,flp-15,npr-3,4,264
I2R,AS02,flp-15,npr-3,4,192
I2R,AS03,flp-15,npr-3,4,203
I2R,AS04,flp-15,npr-3,4,210
I2R,AS05,flp-15,npr-3,4,220
I2R,AS06,flp-15,npr-3,4,224
I2R,AS07,flp-15,npr-3,4,233
I2R,AS08,flp-15,npr-3,4,242
I2R,AS09,flp-15,npr-3,4,254
I2L,DA01,flp-15,npr-3,3,187
I2L,DA02,flp-15,npr-3,3,193
I2L,DA03,flp-15,npr-3,3,205
I2L,DA04,flp-15,npr-3,3,214
I2L,DA05,flp-15,npr-3,3,228
I2L,DA06,flp-15,npr-3,3,248
I2L,DA07,flp-15,npr-3,3,261
I2L,DA08,flp-15,npr-3,3,268
I2L,DA09,flp-15,npr-3,3,269
I2R,DA01,flp-15,npr-3,4,187
I2R,DA02,flp-15,npr-3,4,193
I2R,DA03,flp-15,npr-3,4,205
I2R,DA04,flp-15,npr-3,4,214
I2R,DA05,flp-15,npr-3,4,228
I2R,DA06,flp-15,npr-3,4,248
I2R,DA07,flp-15,npr-3,4,261
I2R,DA08,flp-15,npr-3,4,268
I2R,DA09,flp-15,npr-3,4,269
I2L,DB01,flp-15,npr-3,3,184
I2L,DB02,flp-15,npr-3,3,173
I2L,DB03,flp-15,npr-3,3,194
I2L,DB04,flp-15,npr-3,3,209
I2L,DB05,flp-15,npr-3,3,225
I2L,DB06,flp-15,npr-3,3,243
I2L,DB07,flp-15,npr-3,3,258
I2R,DB01,flp-15,npr-3,4,184
I2R,DB02,flp-15,npr-3,4,173
I2R,DB03,flp-15,npr-3,4,194
I2R,DB04,flp-15,npr-3,4,209
I2R,DB05,flp-15,npr-3,4,225
I2R,DB06,flp-15,npr-3,4,243
I2R,DB07,flp-15,npr-3,4,258
I2L,VA01,flp-15,npr-3,3,183
I2L,VA10,flp-15,npr-3,3,257
I2L,VA11,flp-15,npr-3,3,263
I2L,VA12,flp-15,npr-3,3,273
I2L,VA02,flp-15,npr-3,3,190
I2L,VA03,flp-15,npr-3,3,197
I2L,VA04,flp-15,npr-3,3,206
I2L,VA05,flp-15,npr-3,3,212
I2L,VA06,flp-15,npr-3,3,222
I2L,VA07,flp-15,npr-3,3,231
I2L,VA08,flp-15,npr-3,3,238
I2L,VA09,flp-15,npr-3,3,252
I2R,VA01,flp-15,npr-3,4,183
I2R,VA10,flp-15,npr-3,4,257
I2R,VA11,flp-15,npr-3,4,263
I2R,VA12,flp-15,npr-3,4,273
I2R,VA02,flp-15,npr-3,4,190
I2R,VA03,flp-15,npr-3,4,197
I2R,VA04,flp-15,npr-3,4,206
I2R,VA05,flp-15,npr-3,4,212
I2R,VA06,flp-15,npr-3,4,222
I2R,VA07,flp-15,npr-3,4,231
I2R,VA08,flp-15,npr-3,4,238
I2R,VA09,flp-15,npr-3,4,252
I2L,VB01,flp-15,npr-3,3,175
I2L,VB10,flp-15,npr-3,3,253
I2L,VB11,flp-15,npr-3,3,259
I2L,VB02,flp-15,npr-3,3,160
I2L,VB03,flp-15,npr-3,3,191
I2L,VB04,flp-15,npr-3,3,200
I2L,VB05,flp-15,npr-3,3,207
I2L,VB06,flp-15,npr-3,3,216
I2L,VB07,flp-15,npr-3,3,223
I2L,VB08,flp-15,npr-3,3,234
I2L,VB09,flp-15,npr-3,3,239
I2R,VB01,flp-15,npr-3,4,175
I2R,VB10,flp-15,npr-3,4,253
I2R,VB11,flp-15,npr-3,4,259
I2R,VB02,flp-15,npr-3,4,160
I2R,VB03,flp-15,npr-3,4,191
I2R,VB04,flp-15,npr-3,4,200
I2R,VB05,flp-15,npr-3,4,207
I2R,VB06,flp-15,npr-3,4,216
I2R,VB07,flp-15,npr-3,4,223
I2R,VB08,flp-15,npr-3,4,234
I2R,VB09,flp-15,npr-3,4,239
PHAL,AS01,flp-15,npr-3,279,186
PHAL,AS10,flp-15,npr-3,279,260
PHAL,AS11,flp-15,npr-3,279,264
PHAL,AS02,flp-15,npr-3,279,192
PHAL,AS03,flp-15,npr-3,279,203
PHAL,AS04,flp-15,npr-3,279,210
PHAL,AS05,flp-15,npr-3,279,220
PHAL,AS06,flp-15,npr-3,279,224
PHAL,AS07,flp-15,npr-3,279,233
PHAL,AS08,flp-15,npr-3,279,242
PHAL,AS09,flp-15,npr-3,279,254
PHAR,AS01,flp-15,npr-3,285,186
PHAR,AS10,flp-15,npr-3,285,260
PHAR,AS11,flp-15,npr-3,285,264
PHAR,AS02,flp-15,npr-3,285,192
PHAR,AS03,flp-15,npr-3,285,203
PHAR,AS04,flp-15,npr-3,285,210
PHAR,AS05,flp-15,npr-3,285,220
PHAR,AS06,flp-15,npr-3,285,224
PHAR,AS07,flp-15,npr-3,285,233
PHAR,AS08,flp-15,npr-3,285,242
PHAR,AS09,flp-15,npr-3,285,254
PHAL,DA01,flp-15,npr-3,279,187
PHAL,DA02,flp-15,npr-3,279,193
PHAL,DA03,flp-15,npr-3,279,205
PHAL,DA04,flp-15,npr-3,279,214
PHAL,DA05,flp-15,npr-3,279,228
PHAL,DA06,flp-15,npr-3,279,248
PHAL,DA07,flp-15,npr-3,279,261
PHAL,DA08,flp-15,npr-3,279,268
PHAL,DA09,flp-15,npr-3,279,269
PHAR,DA01,flp-15,npr-3,285,187
PHAR,DA02,flp-15,npr-3,285,193
PHAR,DA03,flp-15,npr-3,285,205
PHAR,DA04,flp-15,npr-3,285,214
PHAR,DA05,flp-15,npr-3,285,228
PHAR,DA06,flp-15,npr-3,285,248
PHAR,DA07,flp-15,npr-3,285,261
PHAR,DA08,flp-15,npr-3,285,268
PHAR,DA09,flp-15,npr-3,285,269
PHAL,DB01,flp-15,npr-3,279,184
PHAL,DB02,flp-15,npr-3,279,173
PHAL,DB03,flp-15,npr-3,279,194
PHAL,DB04,flp-15,npr-3,279,209
PHAL,DB05,flp-15,npr-3,279,225
PHAL,DB06,flp-15,npr-3,279,243
PHAL,DB07,flp-15,npr-3,279,258
PHAR,DB01,flp-15,npr-3,285,184
PHAR,DB02,flp-15,npr-3,285,173
PHAR,DB03,flp-15,npr-3,285,194
PHAR,DB04,flp-15,npr-3,285,209
PHAR,DB05,flp-15,npr-3,285,225
PHAR,DB06,flp-15,npr-3,285,243
PHAR,DB07,flp-15,npr-3,285,258
PHAL,VA01,flp-15,npr-3,279,183
PHAL,VA10,flp-15,npr-3,279,257
PHAL,VA11,flp-15,npr-3,279,263
PHAL,VA12,flp-15,npr-3,279,273
PHAL,VA02,flp-15,npr-3,279,190
PHAL,VA03,flp-15,npr-3,279,197
PHAL,VA04,flp-15,npr-3,279,206
PHAL,VA05,flp-15,npr-3,279,212
PHAL,VA06,flp-15,npr-3,279,222
PHAL,VA07,flp-15,npr-3,279,231
PHAL,VA08,flp-15,npr-3,279,238
PHAL,VA09,flp-15,npr-3,279,252
PHAR,VA01,flp-15,npr-3,285,183
PHAR,VA10,flp-15,npr-3,285,257
PHAR,VA11,flp-15,npr-3,285,263
PHAR,VA12,flp-15,npr-3,285,273
PHAR,VA02,flp-15,npr-3,285,190
PHAR,VA03,flp-15,npr-3,285,197
PHAR,VA04,flp-15,npr-3,285,206
PHAR,VA05,flp-15,npr-3,285,212
PHAR,VA06,flp-15,npr-3,285,222
PHAR,VA07,flp-15,npr-3,285,231
PHAR,VA08,flp-15,npr-3,285,238
